"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"3791",171,"L52","",3,"","",""
"3788",171,"L13","",3,"","",""
"3787",171,"L12","",3,"","",""
"3786",171,"L11","",3,"","",""
"3772",171,"L61","",3,"","",""
"3731",171,"L62","",3,"","",""
"3582",171,"L95","",3,"D0D0D0","","TGV Lorraine"
"3581",171,"L50","",3,"","",""
"3550",171,"L90","",3,"","",""
"3549",171,"L70","",3,"","",""
"3548",171,"L60","",3,"","",""
"3547",171,"L40","",3,"","","Saarbrucken-Express"
"3537",171,"L10","",3,"","",""
"3970",1,"V02","",3,"","",""
"3969",1,"P26","",3,"","",""
"3968",1,"P25","",3,"","",""
"3967",1,"N09","",3,"","",""
"3966",1,"M21","",3,"","",""
"3965",1,"M20","",3,"","",""
"3964",1,"M19","",3,"","",""
"3963",1,"KI4","",3,"","",""
"3962",1,"K53","",3,"","",""
"3961",1,"K52","",3,"","",""
"3960",1,"K51","",3,"","",""
"3959",1,"K50","",3,"","",""
"3958",1,"K49","",3,"","",""
"3957",1,"G13","",3,"","",""
"3956",1,"E41","",3,"","",""
"3955",1,"E40","",3,"","",""
"3954",1,"E39","",3,"","",""
"3953",1,"D52","",3,"","",""
"3952",1,"D43","",3,"","",""
"3951",1,"B29","",3,"","",""
"3950",1,"B28","",3,"","",""
"3949",1,"B27","",3,"","",""
"3948",1,"656","",3,"","",""
"3947",1,"651","",3,"","",""
"3946",1,"643","",3,"","",""
"3904",1,"P24","",3,"","",""
"3876",1,"E38","",3,"","",""
"3785",1,"E37","",3,"","",""
"3784",1,"E36","",3,"","",""
"3783",1,"C20","",3,"","",""
"3782",1,"A21","",3,"","",""
"3781",1,"A20","",3,"","",""
"3779",1,"MH4","",3,"","",""
"3778",1,"MH3","",3,"","",""
"3776",1,"H11","",3,"","",""
"3754",1,"992","",3,"","",""
"3753",1,"991","",3,"","",""
"3752",1,"792","",3,"","",""
"3751",1,"791","",3,"","",""
"3750",1,"691","",3,"","",""
"3749",1,"592","",3,"","",""
"3748",1,"591","",3,"","",""
"3747",1,"491","",3,"","",""
"3746",1,"292","",3,"","",""
"3745",1,"291","",3,"","",""
"3744",1,"118","",3,"","",""
"3743",1,"114","",3,"","",""
