iata_code
AEY
EGS
GRY
HFN
HZK
IFJ
KEF
RKV
THO
VPN
PRN
DLR
DPT
ANR
BRU
CRL
LGG
OST
HDF
BER
DRS
ERF
FRA
FMO
HAM
CGN
DUS
MUC
NUE
LEJ
SCN
STR
HAJ
BRE
HHN
MHG
LBC
FMM
PAD
NRN
DTM
FDH
FKB
KSF
EME
AGE
JUI
BMK
NOD
NRD
BMR
HEI
HGL
GWT
KDL
URE
EPU
TLL
TAY
ENF
HEL
IVL
JOE
JYV
KEM
KAJ
KOK
KAO
KTT
KUO
LPP
MHQ
OUL
POR
RVN
SVL
TMP
TKU
VAA
BFS
BHD
LDY
BHX
MAN
CAL
EOI
FIE
COL
NRL
OBN
PPW
SOY
NDY
LWK
WRY
CSA
CWL
BRS
LPL
LTN
LEQ
ISC
BOH
SOU
NQY
ACI
GCI
JER
LGW
LCY
LHR
SEN
HUY
LBA
IOM
NCL
MME
EMA
KOI
LSI
WIC
ABZ
INV
GLA
EDI
ILY
PIK
BEB
DND
SYY
BRR
TRE
NWI
STN
EXT
AMS
MST
EIN
GRQ
RTM
NNR
ORK
CFN
DUB
IOR
INQ
NOC
KIR
IIA
SNN
AAR
BLL
CPH
EBJ
KRP
BYR
ODE
RKE
RNN
SGD
FAE
AAL
LUX
AES
ANX
ALF
FDE
BNN
BOO
BGO
BJF
BVG
KRS
BDU
EVE
FRO
OSL
HAU
HFT
HAA
HVG
KSU
KKN
LKN
MEH
MOL
MJF
LKL
OSY
OLA
HOV
MQN
RVK
RRS
RET
LYR
SDN
SOG
SVJ
SKN
SRP
SOJ
VAW
SSJ
TOS
TRF
TRD
VDS
SVG
BZG
GDN
KRK
KTW
LUZ
LCJ
WMI
POZ
RDO
RZE
SZZ
SZY
WAW
WRO
IEG
RNB
GOT
JKG
THN
MXX
NYO
SCR
KLR
MMX
HAD
VXO
EVG
GEV
KRF
LYC
SDL
OER
KRN
SFT
UME
VHM
AJR
OSD
ORB
HFS
KSD
VST
LLA
ARN
BMA
BLE
LPI
NRK
TYF
VBY
AGH
PJA
HMV
FCN
RLG
RIX
KUN
PLQ
VNO
FOA
TIA
BOJ
PDV
SOF
VAR
DBV
OSI
PUY
RJK
BWK
SPU
ZAG
ZAD
ALC
LEI
OVD
BCN
BJZ
CDT
LCG
ILD
GRO
GRX
IBZ
XRY
MAD
AGP
MAH
PMI
PNA
REU
SLM
EAS
SCQ
VLC
VLL
VIT
VGO
SDR
SVQ
BOD
EGC
LRH
PIS
LIG
TLS
PUF
LDE
BIQ
DCM
RDZ
BIC
OUI
IDY
DLE
LPY
ETZ
BIA
CLY
FSC
AJA
CMF
CFE
LYS
NCY
GNB
AUR
CCF
MRS
NCE
PGF
MPL
BZR
AVN
BVA
XCR
TUF
LBG
CDG
ORY
LIL
BES
DNR
DOL
LRT
CFR
LME
RNS
NTE
SNR
BSL
DIJ
BVE
SXB
TLN
FNI
LTT
AXD
ATH
VOL
JKH
JIK
IOA
HER
KSO
KIT
EFL
KLX
AOK
CFU
KSJ
KVA
JKL
KZI
LRS
LXS
JMK
MLO
JNX
PAS
JTY
PVK
GPA
CHQ
JSI
SMI
JSY
JTR
JSH
SKU
SKG
ZTH
BUD
DEB
PEV
SOB
CRV
BRI
FOG
PSR
BDS
SUF
CIY
CTA
LMP
PNL
PMO
REG
TPS
AHO
CAG
OLB
MXP
BGY
TRN
GOA
LIN
PMF
CUF
BZO
BLQ
TSF
FRL
VBS
TRS
RMI
VRN
AOI
VCE
CIA
FCO
QSR
EBA
NAP
PSA
FLR
PEG
LJU
JCL
KLV
OSR
PED
PRG
BRQ
MLA
GRZ
INN
KLU
LNZ
SZG
VIE
SMA
BGC
CVU
CAT
FLW
FAO
GRW
HOR
TER
FNC
PDL
PIX
PRM
OPO
PXO
LIS
SJZ
VRL
VSE
BNX
OMO
SJJ
TZL
ARW
BCM
BAY
BBU
GHV
CND
CLJ
CRA
IAS
OMR
OTP
SBZ
SUJ
SCV
TGM
TSR
GVA
LUG
BRN
ZRH
ACH
TEQ
IST
RMO
OHD
SKP
GIB
BEG
KVO
INI
TGD
TIV
BTS
KSC
SLD
TAT
EIK
SUK
UKG
UMS
SYS
KBP
MPW
DNK
OZH
KWG
SIP
HRK
IEV
IFO
LWO
CWC
RWN
UDJ
KHE
NLV
ODS
ARH
LDG
NNM
CSH
KSZ
LED
MMK
CEE
BQT
GME
MSQ
MVQ
OVB
NOZ
AAQ
GDZ
GRV
NAL
OGZ
STW
ROV
TGK
AER
ESL
NYA
EYK
KVX
KMW
IWA
RYB
BZK
ZIA
DME
SVO
EGO
URS
LPK
VOZ
VKO
PEX
SCW
PEZ
UFA
KUF
