id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
2256,EDNY,large_airport,Bodensee Airport Friedrichshafen,47671299.0,951149.0,1367.0,EU,DE,DE-BW,Friedrichshafen,yes,EDNY,FDH,EDNY,,https://www.bodensee-airport.eu,https://en.wikipedia.org/wiki/Friedrichshafen_Airport,Bodensee Airport Friedrichshafen
2270,EDSB,large_airport,Karlsruhe Baden-Baden Airport,487794.0,80805.0,408.0,EU,DE,DE-BW,Rheinmünster,yes,EDSB,FKB,EDSB,,http://www.baden-airpark.de/startseite.html,https://en.wikipedia.org/wiki/Baden_Airpark,Baden Airpark
2285,EDVK,large_airport,Kassel Airport,51418395.0,9391638.0,820.0,EU,DE,DE-HE,Calden,yes,EDVK,KSF,EDVK,,http://www.flughafenkassel.de/,https://en.wikipedia.org/wiki/Kassel_Airport,Kassel-Calden
2288,EDWE,small_airport,Emden Airport,53391109.0,72275.0,3.0,EU,DE,DE-NI,Emden,yes,EDWE,EME,EDWE,,,https://en.wikipedia.org/wiki/Emden_Airport,
28751,EDWG,small_airport,Wangerooge Airport,53782544.0,7919584.0,7.0,EU,DE,DE-NI,Wangerooge,yes,EDWG,AGE,EDWG,,https://www.edwg.de,https://en.wikipedia.org/wiki/Wangerooge_Airfield,
28614,EDWJ,small_airport,Juist Airport,53681421.0,7056398.0,7.0,EU,DE,DE-NI,Juist,yes,EDWJ,JUI,EDWJ,,https://www.edwj.de/,https://de.wikipedia.org/wiki/Flugplatz_Juist,
2291,EDWR,small_airport,Borkum Airport,5359639.0,6709167.0,3.0,EU,DE,DE-NI,Borkum,yes,EDWR,BMK,EDWR,,https://stadtwerke-borkum.de/flugplatz/,https://en.wikipedia.org/wiki/Borkum_Airfield,Borkum
28668,EDWS,small_airport,Norden-Norddeich Airport,53633057.0,7190278.0,3.0,EU,DE,DE-NI,Norddeich,yes,EDWS,NOD,EDWS,,,https://en.wikipedia.org/wiki/Norden-Norddeich_Airfield,
2292,EDWY,small_airport,Norderney Airport,53706944.0,723.0,7.0,EU,DE,DE-NI,Norderney,yes,EDWY,NRD,EDWY,,https://flughafen-norderney.de/,https://en.wikipedia.org/wiki/Norderney_Airport,
28520,EDWZ,small_airport,Baltrum Airport,5372485.0,7373257.0,7.0,EU,DE,DE-NI,Baltrum,yes,EDWZ,BMR,EDWZ,,https://www.baltrum-flug.de/,https://de.wikipedia.org/wiki/Flugplatz_Baltrum,
