origin,lat_origin,lon_origin,formatted_origin,destination,lat_destination,lon_destination,formatted_destination,country
FRA,50.0379,8.5622,"Frankfurt Airport, 60549 Frankfurt, Germany",Frankfurt (Main) Hbf,50.1066539,8.6625808,"Frankfurt (Main) Hauptbahnhof, Mannheimer Straße, 60329 Frankfurt, Germany",Germany
BER,53.0758196,8.8071646,"Bremen, HB, Germany",Berlin Hbf,52.5249451,13.3696614,"Berlin Central Station, Europaplatz 1, 10557 Berlin, Germany",Germany
BER,53.0758196,8.8071646,"Bremen, HB, Germany",Berlin Südkreuz,52.4759806,13.3650726,"Südkreuz (Ringbahn), General-Pape-Straße 1, 12101 Berlin, Germany",Germany
MUC,48.331845,11.73242,"Surftown MUC, 85821 Hallbergmoos, Germany",München Hbf,48.14048,11.55997,"Munich Central Station, Paul-Heyse-Unterführung, 80335 Munich, Germany",Germany
HAM,47.581963,12.870851,"Ham-Ham, Ramsau b. Berchtesgaden, Germany",Hamburg Hbf,53.5526959,10.0075644,"Hamburg Hauptbahnhof, Südsteg, 20099 Hamburg, Germany",Germany
DUS,51.277267,6.766319,"Düsseldorf Airport, 40463 Dusseldorf, Germany",Düsseldorf Hbf,51.219734,6.7943015,"Düsseldorf Central Station, Weg Gleis 12, 40210 Dusseldorf, Germany",Germany
CGN,50.86778175,7.138960985502128,"Cologne Bonn Airport, Heinrich-Steinmann-Straße 12, 51147 Cologne, Germany",Köln Hbf,50.94343,6.95865,"Cologne Central Station, Trankgasse 11, 50667 Cologne, Germany",Germany
STR,48.68842195,9.205392504886913,"Manfred Rommel Airport Stuttgart, Zeuglesweberweg, 70599 Stuttgart, Germany",Stuttgart Hbf,48.7866164,9.185634393260887,"Stuttgart Hauptbahnhof, Am Schloßgarten, 70173 Stuttgart, Germany",Germany
HAJ,52.46144075,9.686333736626429,"Hannover Airport, Im Wohlde, 30855 Langenhagen, Germany",Hannover Hbf,52.3769504,9.7416533,"Hanover Central Station, Niki-de-Saint-Phalle-Promenade, 30159 Hanover, Germany",Germany
LEJ,51.4211901,12.229585904866344,"Leipzig/Halle Airport, Terminalring 11, 04435 Schkeuditz, Germany",Leipzig Hbf,51.3465518,12.3830858,"Leipzig Hauptbahnhof, Willy-Brandt-Platz 5, 04109 Leipzig, Germany",Germany
NUE,49.492565,11.0891,"Albrecht Dürer Airport Nuremberg, 90411 Nuremberg, Germany",Nürnberg Hbf,49.4451991,11.0823089,"Nürnberg Hauptbahnhof, Mitteltunnel, 90443 Nuremberg, Germany",Germany
DRS,51.1342993,13.769480779988587,"Dresden Airport, Flughafenstraße, 01109 Dresden, Germany",Dresden Hbf,51.0402452,13.7320768,"Dresden Hbf, Wiener Platz 4, 01069 Dresden, Germany",Germany
BRE,53.0453419,8.789641688895548,"Bremen Airport, Flughafenallee 20, 28199 Bremen, Germany",Bremen Hbf,53.0831456,8.81354208352343,"Bremen Hauptbahnhof, Bahnhofsplatz 15, 16, 28195 Bremen, Germany",Germany
SCN,49.216959,7.109501,"Saarbrücken Airport, Saarbrücken, Germany",Saarbrücken Hbf,49.240491,6.990655,"Saarbrücken Hbf, 66111 Saarbrücken, Germany",Germany
Frankfurt Flughafen,50.05336,8.57001,"Hundepension Frankfurt Flughafen, 64545 Frankfurt, Germany",Frankfurt (Main) Hbf,50.1066539,8.6625808,"Frankfurt (Main) Hauptbahnhof, Mannheimer Straße, 60329 Frankfurt, Germany",Germany
Berlin Hbf,52.5249451,13.3696614,"Berlin Central Station, Europaplatz 1, 10557 Berlin, Germany",Berlin Südkreuz,52.4759806,13.3650726,"Südkreuz (Ringbahn), General-Pape-Straße 1, 12101 Berlin, Germany",Germany
München Hbf,48.14048,11.55997,"Munich Central Station, Paul-Heyse-Unterführung, 80335 Munich, Germany",Rosenheim,47.8539273,12.127262,"Rosenheim, BY, Germany",Germany
München Hbf,48.14048,11.55997,"Munich Central Station, Paul-Heyse-Unterführung, 80335 Munich, Germany",Passau,48.5748229,13.4609744,"Passau, BY, Germany",Germany
Köln Hbf,50.94343,6.95865,"Cologne Central Station, Trankgasse 11, 50667 Cologne, Germany",Aachen Hbf,50.7677663,6.0913818,"Aachen Central Train Station, Bahnhofstraße 2a, 52064 Aachen, Germany",Germany
Frankfurt (Main) Hbf,50.1066539,8.6625808,"Frankfurt (Main) Hauptbahnhof, Mannheimer Straße, 60329 Frankfurt, Germany",Stuttgart Hbf,48.7866164,9.185634393260887,"Stuttgart Hauptbahnhof, Am Schloßgarten, 70173 Stuttgart, Germany",Germany
Frankfurt (Main) Hbf,50.1066539,8.6625808,"Frankfurt (Main) Hauptbahnhof, Mannheimer Straße, 60329 Frankfurt, Germany",Köln Hbf,50.94343,6.95865,"Cologne Central Station, Trankgasse 11, 50667 Cologne, Germany",Germany
Düsseldorf Hbf,51.219734,6.7943015,"Düsseldorf Central Station, Weg Gleis 12, 40210 Dusseldorf, Germany",Köln Hbf,50.94343,6.95865,"Cologne Central Station, Trankgasse 11, 50667 Cologne, Germany",Germany
Lindau-Reutin,47.5524552,9.7031148,"Lindau-Reutin, Bregenzer Straße 46, 88131 Lindau (Bodensee), Germany",Freilassing,47.8409723,12.9823914,"Freilassing, BY, Germany",Germany
LUX,49.62639055,6.209444584614825,"Luxembourg Airport, Route de Remich, 2436 Luxembourg, Luxembourg",Luxembourg,49.8158683,6.1296751,Luxembourg,Luxembourg
Luxembourg,49.8158683,6.1296751,Luxembourg,Rodange,49.5511046,5.8434572,"Rodange, Route de Luxembourg, 4833 Pétange, Luxembourg",Luxembourg
